Orthogroup	Aspergillus_eucalypticola	Aspergillus_luchuensis	Aspergillus_neoniger	Aspergillus_niger_ASM285	Aspergillus_niger_CBS101883	Aspergillus_piperis	Aspergillus_tubingensis	Aspergillus_vadensis	Aspergillus_welwitschiae_cbs	Aspergillus_welwitschiae_ccmb663	Aspergillus_welwitschiae_ccmb674	Aspergillus_welwitschiae_ihem	Aspergillus_welwitschiae_imrd1	Aspergillus_welwitschiae_item	Aspergillus_welwitschiae_ocstreb1	Aspergillus_welwitschiae_ref_cbs	Neurospora_crassa
OG0010155			XP_025485202.1	XP_059604023.1	XP_025456948.1				gene_01120.t1	gene_07418.t1	gene_01971.t1	gene_05720.t1	"gene_10876.t1, gene_10877.t1"	"gene_08992.t1, gene_08993.t1"	gene_05656.t1	XP_026631690.1	
OG0010156				XP_001389906.3	XP_025455200.1		XP_035357708.1	XP_025561438.1	gene_09006.t1	gene_04130.t1	gene_07381.t1	"gene_05442.t1, gene_12046.t1"	gene_00600.t1	gene_08680.t1	gene_11027.t1	XP_026623787.1	
OG0010157				XP_001390376.3	XP_025456522.1				"gene_03841.t1, gene_10738.t1"	gene_01142.t1	"gene_02367.t1, gene_08173.t1, gene_10370.t1"	gene_01701.t1	gene_07905.t1	gene_10432.t1		"XP_026621930.1, XP_026628899.1"	
OG0010158				"XP_001391410.1, XP_001394703.1"	"XP_025459887.1, XP_025460694.1"				gene_03522.t1	gene_05616.t1	"gene_07783.t1, gene_09075.t1"	gene_10406.t1	gene_02895.t1	gene_10727.t1	gene_07342.t1	XP_026629325.1	
OG0010159				XP_001393916.1	XP_025458855.1	XP_025520544.1	XP_035361920.1		gene_06866.t1	gene_04565.t1	gene_03017.t1	gene_01264.t1	gene_07296.t1	gene_00789.t1	gene_04854.t1	XP_026625682.1	XP_958696.1
OG0010160				XP_001394852.1	XP_025460065.1				gene_03645.t1	gene_12532.t1	gene_04657.t1	"gene_10551.t1, gene_12654.t1"	gene_03029.t1	"gene_11671.t1, gene_12158.t1"	"gene_07466.t1, gene_12478.t1"	XP_026629442.1	
OG0010161				XP_001397976.3	XP_025459381.1				gene_09355.t1	"gene_03817.t1, gene_03818.t1"	"gene_07753.t1, gene_10015.t1, gene_10016.t1"	gene_11244.t1	gene_06469.t1	gene_10982.t1	gene_12470.t1	XP_026623185.1	
OG0010162				"XP_059599877.1, XP_059601088.1, XP_059601426.1, XP_059602857.1, XP_059603427.1, XP_059604203.1, XP_059604958.1, XP_059606718.1, XP_059606798.1"									gene_13057.t1	gene_12501.t1	gene_13177.t1		XP_965377.1
OG0010163				XP_059600954.1				XP_025563690.1	"gene_00413.t1, gene_03600.t1"	"gene_01886.t1, gene_05688.t1"		gene_10810.t1	"gene_02975.t1, gene_05732.t1"	"gene_02445.t1, gene_11747.t1"	"gene_04450.t1, gene_07415.t1"		
OG0010164				XP_059602449.1	XP_025452332.1	XP_025510440.1	XP_035358902.1	XP_025563924.1	gene_02109.t1	gene_03183.t1	gene_01357.t1	gene_01088.t1	gene_08328.t1	gene_03761.t1	gene_10400.t1	XP_026630486.1	
OG0010165				XP_059602689.1	XP_025452536.1				gene_10371.t1	gene_07054.t1	gene_07486.t1	gene_08424.t1	gene_04735.t1	gene_03574.t1	gene_06036.t1	"XP_026622283.1, XP_026622284.1"	"XP_961853.3, XP_962973.1"
OG0010166				XP_059602859.1	XP_025448242.1	XP_025518255.1			gene_04728.t1	gene_11802.t1	gene_10791.t1	"gene_12479.t1, gene_12655.t1"	gene_09178.t1	"gene_08021.t1, gene_12788.t1"	gene_12444.t1	XP_026627679.1	
OG0010167				XP_059603246.1	XP_025456185.1	XP_025513331.1			gene_02603.t1	gene_08790.t1	gene_06500.t1	"gene_06655.t1, gene_08281.t1"	gene_00825.t1	gene_00176.t1	gene_01010.t1	XP_026630051.1	XP_956309.2
OG0010168				XP_059603380.1	XP_025455239.1							gene_05481.t1	gene_00556.t1	gene_08638.t1			"XP_001728118.2, XP_011393544.1, XP_011394444.1, XP_955901.3, XP_958309.2, XP_958461.1, XP_958571.1, XP_960369.1"
OG0010169				XP_059603697.1	XP_025455883.1				gene_11550.t1	gene_09461.t1	gene_08953.t1	gene_11354.t1	gene_12134.t1	gene_10025.t1	"gene_11437.t1, gene_12506.t1, gene_13213.t1"	XP_026621111.1	XP_965062.1
OG0010170				XP_059606209.1	XP_025452758.1				"gene_00766.t1, gene_00767.t1"	gene_06270.t1	gene_10144.t1	gene_08040.t1	gene_11231.t1	"gene_04723.t1, gene_04724.t1"	"gene_10774.t1, gene_10775.t1"	XP_026631322.1	
OG0010171				XP_059606233.1	XP_025452793.1			XP_025560978.1		gene_06309.t1	"gene_00959.t1, gene_06057.t1"	gene_12507.t1	"gene_03229.t1, gene_12240.t1"	"gene_07640.t1, gene_12169.t1"	gene_09108.t1	XP_026620223.1	
OG0010172					"XP_025450445.1, XP_025458351.1"	XP_025511734.1			gene_12765.t1	gene_00037.t1	"gene_01836.t1, gene_02517.t1"		gene_12532.t1	gene_12989.t1	"gene_07871.t1, gene_12589.t1"	"XP_026619764.1, XP_026623875.1"	
OG0010173					XP_025450787.1	"XP_025515654.1, XP_025517355.1"		XP_025559589.1	gene_03224.t1	gene_12460.t1	gene_10410.t1	gene_03931.t1	gene_02616.t1	"gene_09272.t1, gene_09273.t1"	gene_03367.t1	XP_026629818.1	
OG0010174						XP_025517938.1	XP_035356885.1		"gene_09123.t1, gene_09124.t1"	"gene_09918.t1, gene_09919.t1"		"gene_04592.t1, gene_04593.t1"	"gene_03808.t1, gene_03809.t1"	gene_09638.t1	gene_02545.t1	XP_026623590.1	
OG0010175								"XP_025557749.1, XP_025560934.1"	"gene_12061.t1, gene_12875.t1"		gene_01257.t1	"gene_12703.t1, gene_12704.t1, gene_12962.t1"	gene_12662.t1			"XP_026619595.1, XP_026619596.1, XP_026620575.1"	XP_960127.1
OG0010176								XP_025560884.1	"gene_12963.t1, gene_13022.t1, gene_13141.t1, gene_13144.t1"		gene_00172.t1	gene_13010.t1	gene_13075.t1	gene_13168.t1	gene_12752.t1	"XP_026619175.1, XP_026619184.1, XP_026619372.1"	
OG0010177	XP_025381936.1	XP_041540351.1	XP_025478162.1	XP_059605977.1	XP_025460235.1	XP_025517436.1		XP_025564002.1				gene_06854.t1	gene_06648.t1		gene_06628.t1	"XP_026620022.1, XP_026625175.1"	
OG0010178	XP_025382030.1		XP_025482696.1	XP_059601341.1	XP_025459164.1				gene_07258.t1	gene_00716.t1	gene_05591.t1	gene_06331.t1	gene_04903.t1	gene_06063.t1	gene_07772.t1	XP_026625511.1	
OG0010179	XP_025382218.1		XP_025476452.1		XP_025460576.1	XP_025521031.1	XP_035358963.1	XP_025561155.1		gene_02289.t1	gene_08079.t1	gene_10349.t1	gene_01287.t1	gene_08849.t1	gene_04594.t1		
OG0010180	XP_025382407.1		XP_025475210.1	XP_059605039.1	XP_025454506.1	XP_025509887.1			gene_07751.t1	gene_11176.t1	gene_00426.t1	gene_10590.t1	gene_02006.t1	gene_10882.t1	gene_11244.t1		
OG0010181	XP_025382469.1	XP_041538668.1		XP_001391293.3			XP_035358938.1		gene_08533.t1	gene_02267.t1	gene_08109.t1	gene_10138.t1	gene_01312.t1	gene_07689.t1	gene_04570.t1	XP_026623982.1	
OG0010182	XP_025382470.1	XP_041538667.1		XP_001391294.3			XP_035358937.1		gene_08532.t1	gene_02266.t1	gene_08110.t1	gene_10139.t1	gene_01313.t1	gene_07690.t1	gene_04569.t1	XP_026623981.1	
OG0010183	XP_025382506.1	XP_041538628.1	XP_025476516.1	XP_059600880.1	XP_025460629.1	XP_025520971.1	XP_035358897.1	XP_025563918.1	gene_06209.t1			gene_10176.t1	gene_01350.t1	gene_11569.t1			
OG0010184	XP_025382624.1	XP_041547631.1	XP_025473644.1	XP_059604950.1	XP_025448915.1	XP_025514542.1		XP_025566228.1		gene_06331.t1	gene_11947.t1		gene_12006.t1		gene_12624.t1		XP_965698.2
OG0010185	XP_025382698.1	XP_041537889.1		XP_001400518.3			XP_035355881.1		gene_09560.t1	gene_04161.t1	gene_12855.t1	gene_00255.t1	gene_02127.t1	gene_02613.t1	gene_02056.t1		XP_962217.1
OG0010186	XP_025382713.1	XP_041537902.1		XP_059605716.1	XP_025458573.1				gene_09544.t1	gene_04146.t1	gene_08962.t1	gene_00270.t1	gene_02143.t1	gene_03050.t1	gene_02072.t1	XP_026623101.1	
OG0010187	XP_025382722.1	XP_041537908.1				XP_025513566.1	XP_035355899.1	XP_025562600.1	gene_09533.t1	gene_09172.t1	gene_08971.t1	gene_00281.t1	gene_02153.t1	gene_03039.t1	gene_02082.t1		
OG0010188	XP_025382813.1		XP_025479359.1		XP_025451390.1	XP_025517313.1			gene_10624.t1	gene_09569.t1	gene_04627.t1	gene_08885.t1	gene_13026.t1	gene_06910.t1	gene_11210.t1	XP_026622046.1	
OG0010189	XP_025382829.1	XP_041546861.1		XP_059601985.1	XP_025451373.1		XP_035352247.1		gene_10608.t1	gene_09554.t1	gene_04611.t1	gene_08869.t1	gene_13010.t1	gene_06894.t1	gene_11227.t1		
OG0010190	XP_025382889.1			XP_001394803.1	XP_025460102.1		XP_035352307.1	"XP_025557505.1, XP_025557576.1"									"XP_955809.1, XP_956504.2, XP_958984.1, XP_960276.1, XP_961786.2, XP_962721.1"
OG0010191	XP_025382911.1				XP_025449232.1	XP_025512880.1		XP_025565324.1	gene_07602.t1	gene_04431.t1	gene_00272.t1	gene_09686.t1	gene_01851.t1	gene_07775.t1	gene_01614.t1		XP_011394375.1
OG0010192	XP_025383185.1	XP_041544526.1	XP_025482028.1	XP_001401429.3	XP_025451177.1	XP_025519757.1	XP_035353607.1	XP_025567774.1	gene_05605.t1						gene_02930.t1	XP_026627275.1	XP_956904.1
OG0010193	XP_025383319.1	XP_041545550.1	XP_025476921.1			XP_025511280.1	XP_035353502.1	XP_025557147.1	gene_12058.t1				gene_12183.t1			XP_026620571.1	"XP_956090.3, XP_961676.2, XP_961721.3"
OG0010194	XP_025383353.1	XP_041545510.1	XP_025476961.1			XP_025511241.1		"XP_025557181.1, XP_025557182.1"		gene_02692.t1	gene_12020.t1	gene_00632.t1	gene_06831.t1	gene_05181.t1	gene_03800.t1		
OG0010195	XP_025383356.1		XP_025476964.1		XP_025448260.1		XP_035353533.1	XP_025557185.1		gene_02689.t1	gene_12017.t1	gene_00629.t1	gene_06828.t1	gene_05178.t1	gene_03797.t1	XP_026624271.1	
OG0010196	XP_025383480.1	XP_041538485.1	XP_025477612.1	XP_059605384.1	XP_025460780.1				gene_06065.t1		gene_09723.t1		gene_01498.t1	gene_07448.t1	gene_10995.t1	XP_026626582.1	XP_964722.2
OG0010197	XP_025383674.1	XP_041548124.1	XP_025479772.1	XP_059604294.1			XP_035357507.1		gene_03037.t1	gene_05004.t1	gene_01093.t1	gene_02002.t1	gene_02422.t1	gene_05852.t1	gene_03179.t1		
OG0010198	XP_025383719.1	"XP_041544951.1, XP_041544952.1, XP_041548082.1"	"XP_025479728.1, XP_025480083.1"			"XP_025515219.1, XP_025515527.1"	"XP_035354017.1, XP_035357464.1"	"XP_025559463.1, XP_025567328.1"									
OG0010199	XP_025383796.1	XP_041536761.1		XP_001394541.1	XP_025455029.1		XP_035354798.1		gene_03380.t1	gene_05473.t1	gene_07537.t1	gene_05038.t1	gene_02756.t1	gene_01671.t1	gene_08214.t1		
OG0010200	XP_025383842.1	XP_041545437.1	XP_025484362.1	XP_059603770.1	XP_025450465.1	XP_025509947.1	XP_035359136.1	XP_025564645.1		gene_09416.t1	gene_11561.t1	gene_05188.t1			gene_06902.t1		
OG0010201	XP_025384063.1	XP_041537333.1	XP_025479010.1		XP_025461190.1	XP_025518267.1	XP_035355349.1	XP_025568727.1	gene_05691.t1	gene_10812.t1	gene_11898.t1		gene_03955.t1		gene_02397.t1		
OG0010202	XP_025384137.1			XP_059606223.1	"XP_025452778.1, XP_025452832.1"	XP_025513681.1			gene_12386.t1	gene_06286.t1		gene_08056.t1	gene_03246.t1	gene_07622.t1	gene_09087.t1	XP_026620206.1	
OG0010203	XP_025384160.1		XP_025480566.1		XP_025452802.1	XP_025513705.1	XP_035359354.1	XP_025564424.1	gene_07981.t1			gene_08078.t1	gene_03223.t1	gene_07646.t1	gene_09116.t1	XP_026624481.1	
OG0010204	XP_025384221.1	XP_041545270.1	XP_025480503.1	XP_001393159.3	XP_025450651.1	XP_025513762.1	XP_035359293.1	XP_025564481.1			gene_11405.t1				gene_09182.t1	XP_026624541.1	XP_959773.1
OG0010205	XP_025384396.1	XP_041546235.1		XP_059600734.1			XP_035352859.1		gene_04323.t1	gene_07144.t1	gene_10874.t1	gene_04045.t1	gene_11662.t1	gene_09210.t1	gene_10480.t1		XP_001728007.1
OG0010206	XP_025384429.1	XP_041546203.1			XP_025454261.1	XP_025515805.1	XP_035352892.1	XP_025557259.1	gene_04356.t1		gene_10907.t1	gene_04079.t1	gene_11696.t1			XP_026628684.1	XP_958285.1
OG0010207	"XP_025384462.1, XP_025391423.1"			XP_001397950.1	XP_025459406.1				gene_09338.t1	gene_03836.t1	gene_06724.t1	gene_11220.t1	gene_06488.t1	gene_10161.t1	gene_12491.t1	XP_026623169.1	
OG0010208	XP_025384654.1	XP_041543271.1	XP_025477269.1	XP_059602364.1	XP_025452146.1				gene_01532.t1	gene_01652.t1	gene_03630.t1	gene_09542.t1	gene_09374.t1	gene_01359.t1	gene_03624.t1		
OG0010209	XP_025384781.1		XP_025473634.1	XP_059604714.1	XP_025451996.1	XP_025510208.1		XP_025566949.1	gene_09158.t1	gene_10448.t1	gene_05132.t1	gene_07685.t1	gene_09226.t1	gene_10625.t1			
OG0010210	XP_025384799.1		XP_025473611.1	XP_001401352.1	XP_025451979.1	XP_025510225.1	XP_035352208.1	XP_025566966.1		gene_12503.t1	gene_05148.t1		gene_09209.t1		gene_12849.t1	XP_026620070.1	
OG0010211	XP_025384961.1	XP_041548795.1	XP_025478511.1				XP_035358154.1		gene_08243.t1	gene_12620.t1	gene_04090.t1	gene_07291.t1	gene_10073.t1	gene_04210.t1	gene_06183.t1	XP_026624389.1	
OG0010212	XP_025384962.1	XP_041548794.1	XP_025478510.1				XP_035358153.1		gene_08242.t1	gene_12619.t1	gene_04089.t1	gene_07292.t1	gene_10074.t1	gene_04209.t1	gene_06184.t1	XP_026624388.1	
OG0010213	XP_025385094.1	XP_041537557.1	XP_025478323.1	XP_001400137.1	XP_025459742.1	XP_025518488.1	XP_035355560.1	XP_025564165.1	gene_09874.t1				gene_04184.t1	gene_02892.t1		XP_026622866.1	
OG0010214	XP_025385109.1	XP_041537572.1	XP_025481073.1	XP_059603459.1	XP_025459745.1	XP_025518503.1	XP_035355573.1	XP_025564180.1			gene_08028.t1		gene_07519.t1		gene_01739.t1	XP_026622870.1	
OG0010215	XP_025385179.1	XP_041544892.1	XP_025474072.1			XP_025515155.1	XP_035353961.1		gene_00696.t1	gene_02580.t1	gene_04939.t1	gene_03198.t1		gene_05133.t1	gene_06369.t1	XP_026632733.1	
OG0010216	XP_025385204.1		XP_025474047.1	XP_059600547.1		XP_025515132.1	XP_035353936.1		gene_00669.t1	gene_02553.t1	gene_04911.t1		gene_06096.t1	gene_05158.t1	gene_06340.t1	XP_026632701.1	
OG0010217	XP_025385357.1	XP_041549219.1				XP_025511630.1	XP_035353788.1	XP_025567573.1		gene_05690.t1	"gene_00962.t1, gene_08289.t1"	gene_08323.t1	gene_02977.t1	gene_02443.t1	gene_07417.t1		
OG0010218	XP_025385386.1	XP_041541202.1			XP_025457206.1			XP_025557229.1	gene_01362.t1	gene_07175.t1	gene_07868.t1	gene_10261.t1	gene_10636.t1	gene_01430.t1	gene_04336.t1	XP_026631939.1	
OG0010219	XP_025385703.1	XP_041538924.1		XP_059602044.1	XP_025458192.1			XP_025565809.1	gene_11189.t1	gene_11389.t1	gene_03774.t1	gene_04901.t1	gene_01682.t1	gene_02945.t1		XP_026621536.1	
OG0010220	XP_025386055.1		XP_025481148.1	XP_059605680.1	XP_025457909.1		XP_035355638.1	XP_025564245.1	gene_09806.t1			gene_00004.t1	gene_07596.t1	gene_03437.t1	gene_01804.t1	XP_026622796.1	
OG0010221	XP_025386077.1	XP_041542101.1		XP_059601290.1	XP_025450930.1	XP_025512248.1	XP_035362475.1	XP_025559609.1	gene_07062.t1			gene_05289.t1	gene_05108.t1	gene_11061.t1	gene_10555.t1		
OG0010222	XP_025386156.1	XP_041542176.1	XP_025474284.1	XP_001393427.3	XP_025451003.1	XP_025512330.1		XP_025559682.1	gene_07134.t1			gene_05356.t1		gene_03659.t1	gene_10626.t1		XP_964148.3
OG0010223	XP_025386230.1	"XP_041536764.1, XP_041540719.1, XP_041542200.1, XP_041542277.1"	"XP_025474553.1, XP_025475122.1, XP_025481027.1"			XP_025512420.1				gene_03612.t1				gene_08582.t1	gene_06185.t1		
OG0010224	XP_025386241.1	XP_041541954.1		XP_001393280.3	XP_025448185.1	"XP_025517028.1, XP_025520827.1"		XP_025563780.1		gene_00362.t1		gene_12692.t1	gene_12265.t1	gene_12353.t1	gene_12564.t1		
OG0010225	XP_025386246.1	XP_041542290.1	XP_025475109.1	XP_001390133.1		XP_025512432.1	XP_035362306.1	XP_025559771.1	gene_11766.t1	gene_03601.t1	gene_06800.t1	gene_04775.t1			gene_11865.t1		
OG0010226	XP_025386379.1		XP_025475311.1			XP_025519498.1	XP_035361519.1		gene_10756.t1	gene_01159.t1	gene_02384.t1	gene_01720.t1	gene_07922.t1	gene_10414.t1	gene_11717.t1	XP_026621949.1	
OG0010227	XP_025386440.1	XP_041544338.1				XP_025519561.1	XP_035361457.1	XP_025562321.1	gene_10685.t1	gene_01089.t1	gene_06019.t1	gene_01651.t1	gene_07854.t1	gene_08299.t1	gene_08785.t1		
OG0010228	XP_025386535.1			XP_059600385.1	XP_025448651.1			XP_025562215.1	gene_10502.t1	gene_00978.t1	gene_04862.t1	gene_01547.t1	gene_12038.t1	gene_03852.t1	gene_08898.t1	XP_026622153.1	
OG0010229	XP_025386958.1	XP_041540696.1		XP_001402161.3	XP_025450210.1		XP_035354172.1		gene_05993.t1	gene_07784.t1	gene_02670.t1	gene_07504.t1	gene_01579.t1	gene_06734.t1	gene_08372.t1		
OG0010230	XP_025386963.1	XP_041540689.1	XP_025479906.1	XP_001402168.1			XP_035354179.1		gene_06000.t1	gene_07791.t1	gene_02663.t1	gene_07511.t1	gene_01572.t1	gene_06727.t1	gene_08365.t1		
OG0010231	XP_025387271.1		XP_025477069.1	XP_059604387.1	XP_025453696.1	XP_025511629.1	XP_035354486.1	XP_025561738.1		gene_03412.t1	gene_06559.t1			gene_04592.t1	gene_01220.t1	XP_026629018.1	
OG0010232	XP_025387274.1	XP_041549216.1	XP_025477072.1			XP_025511626.1	XP_035354488.1	XP_025561736.1	gene_03967.t1	gene_03410.t1		gene_00358.t1	gene_10537.t1	gene_04595.t1	gene_01218.t1		
OG0010233	XP_025387569.1		XP_025481668.1		XP_025460866.1		XP_035357061.1		gene_07948.t1	gene_08417.t1	gene_11778.t1	gene_10003.t1	gene_06212.t1	gene_10583.t1	gene_07177.t1		XP_962323.2
OG0010234	XP_025387742.1				XP_025452622.1	XP_025511978.1	XP_035360334.1		gene_10289.t1	gene_06972.t1	gene_07409.t1	gene_11704.t1	gene_04816.t1	gene_09543.t1	gene_12360.t1	XP_026622205.1	
OG0010235	"XP_025388591.1, XP_025390263.1"		"XP_025475641.1, XP_025480359.1"					XP_025566446.1	gene_03613.t1	gene_05705.t1		gene_08337.t1	gene_02992.t1	gene_02428.t1	gene_07431.t1	XP_026629408.1	
OG0010236	XP_025388705.1	XP_041542075.1	XP_025483109.1			XP_025509680.1	XP_035351540.1	XP_025565690.1		gene_02428.t1		gene_12749.t1	gene_01129.t1	gene_06192.t1	gene_04732.t1		XP_957925.3
OG0010237	XP_025388829.1			XP_059606966.1		XP_025520575.1		XP_025563097.1	gene_06893.t1	gene_04592.t1	gene_02990.t1	gene_01290.t1	gene_07322.t1	gene_00815.t1	gene_04880.t1	XP_026625713.1	
OG0010238	XP_025389229.1	XP_041546515.1	XP_025475568.1			XP_025516836.1	XP_035352613.1	XP_025564733.1	gene_04045.t1			gene_04127.t1	gene_11385.t1	gene_12197.t1	gene_00288.t1	XP_026628375.1	
OG0010239	XP_025389231.1	XP_041546516.1	XP_025475569.1			XP_025516835.1	XP_035352614.1	XP_025564732.1	gene_04046.t1			gene_04126.t1	gene_11386.t1	gene_12198.t1	gene_00289.t1	XP_026628376.1	
OG0010240	XP_025389409.1		XP_025479549.1			XP_025517125.1		XP_025564917.1	gene_09323.t1	gene_06693.t1	gene_11703.t1	gene_11757.t1	gene_08686.t1	gene_09132.t1	gene_00096.t1	XP_026623466.1	
OG0010241	XP_025389597.1		XP_025481429.1	XP_059606854.1	XP_025461105.1	XP_025509588.1				gene_09971.t1	"gene_09236.t1, gene_09238.t1"	gene_11491.t1	gene_03864.t1	gene_08359.t1	gene_02489.t1		
OG0010242	XP_025389617.1	XP_041539905.1	XP_025481406.1		XP_025461125.1	XP_025517580.1		XP_025568205.1	gene_09048.t1	gene_09993.t1		gene_11471.t1		gene_08267.t1	gene_02468.t1	XP_026623507.1	
OG0010243	XP_025389765.1	XP_041539748.1		XP_001389293.1			XP_035356682.1		gene_02532.t1	gene_08717.t1	gene_06431.t1	gene_09268.t1	gene_00754.t1	gene_02052.t1	gene_01082.t1		XP_960800.1
OG0010244	XP_025389897.1	XP_041539616.1	XP_025484919.1	XP_059603217.1					gene_02675.t1	gene_08862.t1	gene_08626.t1	gene_06581.t1	gene_00897.t1	gene_00247.t1	gene_00938.t1	XP_026630120.1	
OG0010245	XP_025389898.1	XP_041539615.1	XP_025484920.1	XP_059603216.1					gene_02676.t1	gene_08863.t1	gene_08625.t1	gene_06580.t1	gene_00898.t1	gene_00248.t1	gene_00937.t1	XP_026630121.1	
OG0010246	XP_025390018.1	XP_041543155.1	XP_025474463.1		XP_025456758.1	XP_025514023.1	XP_035351958.1	XP_025566701.1		gene_01532.t1				gene_01240.t1	gene_03508.t1	XP_026631047.1	XP_011394379.1
OG0010247	XP_025390048.1		XP_025484325.1	XP_059604661.1			XP_035351926.1		gene_01684.t1	gene_00498.t1	gene_03481.t1	gene_03455.t1	gene_09523.t1	gene_03885.t1	gene_03478.t1	XP_026631084.1	
OG0010248	XP_025390517.1	XP_041546036.1		XP_059607027.1			XP_035353050.1		gene_02081.t1	gene_03212.t1	gene_01384.t1	gene_01060.t1	gene_08356.t1	gene_03733.t1	gene_10371.t1	XP_026630459.1	
OG0010249	XP_025390784.1	XP_041545738.1	XP_025483561.1			XP_025516441.1	XP_035353319.1	XP_025560702.1	gene_02367.t1	gene_02929.t1			gene_08069.t1	gene_03152.t1	gene_04043.t1	XP_026630753.1	
OG0010250	XP_025390989.1	XP_041538065.1	XP_025478751.1	XP_001392018.3	XP_025451568.1		XP_035358380.1	XP_025560108.1	gene_00081.t1	gene_09178.t1			gene_05396.t1	gene_10248.t1		XP_026632059.1	
OG0010251	XP_025390991.1	XP_041538066.1	XP_025478752.1	XP_001392016.3	XP_025451567.1		XP_035358381.1	XP_025560109.1	gene_00082.t1	gene_05174.t1			gene_05397.t1	gene_10249.t1		XP_026632061.1	
OG0010252	XP_025390995.1	XP_041538068.1	XP_025478753.1		XP_025451566.1		XP_035358382.1		gene_00084.t1	gene_05173.t1	gene_02225.t1	gene_02980.t1	gene_05399.t1	gene_10251.t1	gene_08933.t1		
OG0010253	XP_025391197.1	XP_041538275.1	XP_025484032.1			XP_025510739.1	XP_035358572.1	XP_025563563.1		gene_05512.t1	gene_08208.t1	gene_05084.t1	gene_02794.t1	gene_12152.t1	gene_08252.t1		
OG0010254	XP_025391353.1	XP_041538438.1	XP_025477557.1	XP_059600924.1	XP_025454644.1	XP_025520773.1	XP_035358720.1	XP_025563728.1				gene_06004.t1		gene_07499.t1	gene_12130.t1	XP_026632470.1	
OG0010255	XP_025391938.1								gene_02977.t1	"gene_05207.t1, gene_05208.t1"	gene_01157.t1	gene_02066.t1	gene_02360.t1	gene_05793.t1	"gene_03113.t1, gene_03114.t1, gene_03115.t1"	XP_026629569.1	
OG0010256	XP_025392083.1		XP_025482824.1	XP_001394421.1	XP_025455137.1	XP_025513050.1	XP_035357733.1	XP_025561413.1	gene_03271.t1	gene_05366.t1	gene_11313.t1				gene_08106.t1	XP_026629091.1	
OG0010257	XP_025392315.1			XP_059601645.1	XP_025459891.1	XP_025513286.1			gene_03518.t1	gene_05611.t1	gene_07789.t1	gene_10401.t1	gene_02891.t1	gene_10731.t1	gene_07337.t1	XP_026629321.1	
OG0010258	XP_025392913.1	XP_041536820.1		XP_059600221.1	XP_025453199.1		XP_035354855.1		gene_11015.t1	gene_03666.t1	gene_11033.t1	gene_04709.t1	gene_07753.t1	gene_04916.t1	gene_05935.t1		
OG0010259	XP_025392914.1	XP_041536819.1		XP_001390048.1	XP_025453200.1		XP_035354854.1		gene_11016.t1	gene_03667.t1	gene_11032.t1	gene_04708.t1	gene_07754.t1	gene_04915.t1	gene_05936.t1		
OG0010260	XP_025392947.1	XP_041536798.1	XP_025477475.1	XP_059600202.1		XP_025512573.1	XP_035354833.1	XP_025563235.1	gene_11037.t1			gene_04688.t1	gene_07775.t1	gene_04894.t1		XP_026621592.1	
OG0010261	XP_025393170.1	XP_041539434.1	XP_025482220.1	XP_059599645.1	XP_025448883.1	XP_025516195.1		XP_025559317.1		gene_09056.t1	gene_08429.t1	gene_11597.t1	gene_01101.t1		gene_00737.t1		
OG0010262	XP_025393524.1		XP_025476083.1			XP_025520411.1	XP_035356006.1		gene_12123.t1	gene_08323.t1	gene_01833.t1	gene_12785.t1	gene_08563.t1	gene_11469.t1	gene_11185.t1	XP_026620459.1	
OG0010263		XP_041536759.1	XP_025477510.1	XP_001389964.1	XP_025453263.1	XP_025512541.1	XP_035354796.1	XP_025563201.1	gene_11069.t1		gene_11238.t1	gene_04652.t1			gene_12029.t1	XP_026621625.1	
OG0010264		XP_041536784.1		XP_059600192.1	XP_025453237.1	XP_025512559.1			gene_11051.t1	gene_03701.t1	gene_10998.t1	gene_04674.t1	gene_07789.t1	gene_04880.t1	gene_05969.t1	XP_026621606.1	
OG0010265		XP_041536978.1	XP_025484986.1		XP_025455319.1		XP_035355012.1		gene_08884.t1	gene_04007.t1	gene_07251.t1	gene_05570.t1	gene_00463.t1	gene_13002.t1	gene_11764.t1	XP_026623663.1	
OG0010266		XP_041537339.1		XP_001399884.1			XP_035355355.1	XP_025568720.1	gene_05697.t1	gene_10818.t1	gene_11904.t1	gene_11894.t1	gene_03961.t1	gene_04090.t1	gene_02391.t1		XP_964977.1
OG0010267		XP_041537579.1	XP_025481088.1	XP_001400140.1	XP_025459738.1	XP_025518511.1		XP_025564185.1	gene_09869.t1	gene_11061.t1	gene_08022.t1	gene_07043.t1			gene_01744.t1	XP_026622862.1	
OG0010268		XP_041537620.1		XP_001400196.1			XP_035355617.1		gene_09823.t1	gene_11105.t1	gene_12581.t1	gene_07085.t1	gene_07579.t1	gene_03420.t1	gene_01787.t1	XP_026622816.1	XP_957332.1
OG0010269		XP_041537859.1	XP_025481375.1	XP_001400487.3			XP_035355853.1		gene_09589.t1	gene_04189.t1	gene_12827.t1	gene_00226.t1	gene_02099.t1	gene_02584.t1	gene_02028.t1	XP_026623146.1	
OG0010270		XP_041538581.1		XP_059601236.1	XP_025452665.1				gene_00853.t1	gene_09762.t1	"gene_08733.t1, gene_09088.t1"	gene_11061.t1	gene_11141.t1	gene_06507.t1	gene_10684.t1	XP_026631412.1	
